,event_id,event,event_region,event_start_date,event_end_date,prize_money,stage,match_id,game_id,game_duration
63,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384bc,616151d4143c37878b2388a6,300.0
64,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384bc,616151d9143c37878b2388ad,300.0
65,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384bd,61615030143c37878b23883d,398.0
66,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384bd,61615034f8090ec7452870e2,300.0
67,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384bd,61615038f8090ec7452870e9,300.0
68,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384bd,6161503d143c37878b238844,300.0
69,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384be,61614f50143c37878b2387f7,300.0
70,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384be,61614f59143c37878b2387fe,300.0
71,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384be,61614f5ef8090ec745287095,356.0
72,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384be,61614f62f8090ec74528709c,368.0
73,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384bf,6160054d143c37878b2386b3,300.0
