,game_id,color,team_id,team_name,team_region,core_shots,core_goals,core_saves,core_assists,core_score,winner
95,616150de143c37878b238875,orange,60c1e2879fc1a47e5f1116c8,PANIK GAMING,Oceania,5,0,3,0,647,False
96,616150e2f8090ec745287121,blue,6091ad1bd50a7d046663343d,TEAM EROS,Oceania,16,7,9,4,2077,True
97,616150e2f8090ec745287121,orange,60c1e2879fc1a47e5f1116c8,PANIK GAMING,Oceania,10,0,7,0,989,False
98,616005f7143c37878b2386e4,blue,615332c4143c37878b237fa6,WILDCARD GAMING,Oceania,7,2,5,2,1114,False
99,616005f7143c37878b2386e4,orange,6020bc8ef1e4807cc700391a,GROUND ZERO GAMING,Oceania,12,4,5,4,1406,True
100,616005fbf8090ec745286ecd,blue,615332c4143c37878b237fa6,WILDCARD GAMING,Oceania,7,1,4,1,818,False
101,616005fbf8090ec745286ecd,orange,6020bc8ef1e4807cc700391a,GROUND ZERO GAMING,Oceania,8,3,4,3,1200,True
102,616005fff8090ec745286ed4,blue,615332c4143c37878b237fa6,WILDCARD GAMING,Oceania,10,2,4,1,828,False
103,616005fff8090ec745286ed4,orange,6020bc8ef1e4807cc700391a,GROUND ZERO GAMING,Oceania,9,5,5,3,1487,True
104,61615146143c37878b23887c,blue,6156d4db143c37878b238367,TRIDENT ESPORTS,Oceania,9,4,5,4,1417,True
105,61615146143c37878b23887c,orange,615c068f143c37878b238569,THE GROGANS,Oceania,9,2,4,2,990,False
106,6161515d143c37878b23888a,blue,6156d4db143c37878b238367,TRIDENT ESPORTS,Oceania,13,3,5,0,1125,True
107,6161515d143c37878b23888a,orange,615c068f143c37878b238569,THE GROGANS,Oceania,8,1,8,1,1105,False
108,6161514ef8090ec745287137,blue,6156d4db143c37878b238367,TRIDENT ESPORTS,Oceania,10,1,5,1,1111,False
109,6161514ef8090ec745287137,orange,615c068f143c37878b238569,THE GROGANS,Oceania,8,2,7,2,1364,True
110,61615153143c37878b238883,blue,6156d4db143c37878b238367,TRIDENT ESPORTS,Oceania,5,1,4,1,826,False
111,61615153143c37878b238883,orange,615c068f143c37878b238569,THE GROGANS,Oceania,10,6,2,5,1393,True
112,61615163143c37878b238891,blue,6156d4db143c37878b238367,TRIDENT ESPORTS,Oceania,6,1,3,1,784,False
113,61615163143c37878b238891,orange,615c068f143c37878b238569,THE GROGANS,Oceania,7,2,5,1,1055,True
